irrelevant,irrelevant,irrelevant,irrelevant,numerical_features,numerical_features,technician_latitude,technician_longitude,site_latitude,site_longitude,categorical_features,categorical_features,categorical_features,categorical_features,categorical_features,categorical_features,target_column,categorical_features,categorical_features,categorical_features,categorical_features
Order Id,DueDate,TechId,TechName,Age,Rating,SiteLat,SiteLng,ServiceLocationLat,ServiceLocationLng,Skill,Priority,Asset  type,Weather,Traffic,Area,Workhours,TypeOf Service,Source,Make,Model
akqg208421122,28-May-25,TECH789,Robert Taylor,34,4.5,12.913041,77.683237,13.043041,77.813237,HVAC Maintenance,Low Priority,Air Conditioner,Stormy,Jam ,Metropolitian ,2.75,Electronics,Scheduled Maintenance ,Carrier,AquaEdge 23XR
njpu434582536,29-May-25,TECH790,Lisa Nguyen,23,4.4,12.914264,77.6784,12.924264,77.6884,Electrical Repair,Medium Priority,Chiller Unit,Sandstorms,Low ,Urban ,2.166666667,Sports,Customer Complaint ,Trane,CenTraVac
rjto796129700,30-May-25,TECH791,Carlos Rivera,38,4.7,11.003669,76.976494,11.053669,77.026494,Plumbing Maintenance,High Priority,Heat Pump,Sunny,Medium ,Metropolitian ,1.75,Cosmetics,Automated System Alert ,Lennox,Energence Ultra
zguw716275638,31-May-25,TECH792,Emma Brown,32,4.6,12.972793,80.249982,13.012793,80.289982,Boiler Servicing,Urgent Priority,Ventilation System,Cloudy,High ,Metropolitian ,2.5,Toys,Compliance Audit ,Daikin,VRV IV
fxuu788413734,1-Jun-25,TECH793,Vikram Singh,22,4.8,17.431668,78.408321,17.461668,78.438321,Refrigeration System Repair,Low Priority,Rooftop AC,Cloudy,Jam ,Urban ,2.166666667,Toys,Routine Inspection,York,Affinity YXV
njmo150975311,2-Jun-25,TECH794,Robert Taylor,33,4.7,23.369746,85.33982,23.479746,85.44982,HVAC Maintenance,Medium Priority,Asset  type,Fog,Jam ,Metropolitian ,3.333333333,Toys,Scheduled Maintenance ,Carrier,AquaEdge 23XR
jvjc772545076,3-Jun-25,TECH795,Lisa Nguyen,35,4.6,12.352058,76.60665,12.482058,76.73665,Electrical Repair,High Priority,Air Conditioner,Cloudy,Medium ,Metropolitian ,2.666666667,Snacks,Customer Complaint ,Trane,CenTraVac
uaeb808891380,4-Jun-25,TECH796,Carlos Rivera,22,4.8,17.433809,78.386744,17.563809,78.516744,Plumbing Maintenance,Urgent Priority,Chiller Unit,Stormy,Jam ,Metropolitian ,2.833333333,Electronics,Automated System Alert ,Lennox,Energence Ultra
bgvc052754213,5-Jun-25,TECH797,Emma Brown,36,4.2,30.327968,78.046106,30.397968,78.116106,Boiler Servicing,Low Priority,Heat Pump,Fog,Jam ,Metropolitian ,3.833333333,Toys,Compliance Audit ,Daikin,VRV IV
vmau710398846,6-Jun-25,TECH798,Vikram Singh,21,4.7,10.003064,76.307589,10.043064,76.347589,Refrigeration System Repair,Medium Priority,Ventilation System,Stormy,High ,Metropolitian ,1.916666667,Cosmetics,Routine Inspection,York,Affinity YXV
lcwn330553507,7-Jun-25,TECH799,Robert Taylor,23,4.7,18.56245,73.916619,18.65245,74.006619,HVAC Maintenance,High Priority,Rooftop AC,Sandstorms,Medium ,Metropolitian ,1.75,Shoes,Scheduled Maintenance ,Carrier,AquaEdge 23XR
wcjs752046999,8-Jun-25,TECH800,Lisa Nguyen,34,4.3,30.899584,75.809346,30.919584,75.829346,Electrical Repair,Urgent Priority,Asset  type,Sandstorms,Low ,Metropolitian ,1.666666667,Apparel,Customer Complaint ,Trane,CenTraVac
blhl288691670,9-Jun-25,TECH801,Carlos Rivera,24,4.7,26.463504,80.372929,26.593504,80.502929,Plumbing Maintenance,Low Priority,Air Conditioner,Fog,Jam ,Metropolitian ,3.416666667,Jewelry,Automated System Alert ,Lennox,Energence Ultra
zyvo118176215,10-Jun-25,TECH802,Emma Brown,29,4.5,19.176269,72.836721,19.266269,72.926721,Boiler Servicing,Medium Priority,Chiller Unit,Sandstorms,Jam ,Metropolitian ,1.666666667,Outdoors,Compliance Audit ,Daikin,VRV IV
uhfs888375680,11-Jun-25,TECH803,Vikram Singh,35,4,12.311072,76.654878,12.351072,76.694878,Refrigeration System Repair,High Priority,Heat Pump,Windy,High ,Metropolitian ,0.55,Grocery,Routine Inspection,York,Affinity YXV
vmfv999642595,12-Jun-25,TECH804,Robert Taylor,33,4.2,18.592718,73.773572,18.702718,73.883572,HVAC Maintenance,Urgent Priority,Ventilation System,Sandstorms,Jam ,Metropolitian ,3.333333333,Cosmetics,Scheduled Maintenance ,Carrier,AquaEdge 23XR
qfgc848777135,13-Jun-25,TECH805,Lisa Nguyen,34,4.9,17.426228,78.407495,17.496228,78.477495,Electrical Repair,Low Priority,Rooftop AC,Cloudy,Jam ,Metropolitian ,3.416666667,Snacks,Customer Complaint ,Trane,CenTraVac
vwmc439983136,14-Jun-25,TECH806,Carlos Rivera,21,4.7,22.552672,88.352885,22.582672,88.382885,Plumbing Maintenance,Medium Priority,Asset  type,Windy,Jam ,Urban ,1.25,Jewelry,Automated System Alert ,Lennox,Energence Ultra
ntzy027061451,15-Jun-25,TECH807,Emma Brown,25,4.1,18.563934,73.915367,18.643935,73.995367,Boiler Servicing,High Priority,Air Conditioner,Sandstorms,Jam ,Metropolitian ,3,Toys,Compliance Audit ,Daikin,VRV IV
pbjm971961647,16-Jun-25,TECH808,Vikram Singh,31,4.7,23.357804,85.325146,23.487804,85.455146,Refrigeration System Repair,Urgent Priority,Chiller Unit,Sandstorms,Low ,Metropolitian ,2.166666667,Books,Routine Inspection,York,Affinity YXV
kjic578711491,17-Jun-25,TECH809,Robert Taylor,37,5,11.003669,76.976494,11.013669,76.986494,HVAC Maintenance,Low Priority,Heat Pump,Sandstorms,Low ,Metropolitian ,1.666666667,Clothing,Scheduled Maintenance ,Carrier,AquaEdge 23XR
rkzt648036688,18-Jun-25,TECH810,Lisa Nguyen,33,4.3,12.986047,80.218114,13.116047,80.348114,Electrical Repair,Medium Priority,Ventilation System,Windy,Jam ,Metropolitian ,3.25,Snacks,Customer Complaint ,Trane,CenTraVac
segh259958026,19-Jun-25,TECH811,Carlos Rivera,25,4,19.221315,72.862381,19.261315,72.902381,Plumbing Maintenance,High Priority,Rooftop AC,Cloudy,High ,Metropolitian ,2.833333333,Jewelry,Automated System Alert ,Lennox,Energence Ultra
